x0000,y0000
0.,648680.
50.,650207.
100.,649815.
150.,646791.
200.,643331.
250.,642398.
300.,643412.
350.,643639.
400.,646770.
450.,645173.
500.,645717.
550.,648102.
600.,646436.
650.,647611.
700.,647395.
750.,649666.
800.,648986.
850.,648582.
900.,648853.
950.,646489.
1000.,646029.
1050.,644648.
1100.,643896.
1150.,645025.
1200.,645552.
1250.,644924.
1300.,645343.
1350.,645878.
1400.,646772.
1450.,646470.
1500.,648605.
1550.,647648.
1600.,648974.
1650.,647581.
1700.,648040.
1750.,645630.
1800.,645852.
1850.,646142.
1900.,645827.
1950.,644218.
2000.,645009.
2050.,646811.
2100.,646015.
2150.,646669.
2200.,647154.
2250.,646397.
2300.,647236.
2350.,648230.
2400.,648430.
2450.,646987.
2500.,647613.
2550.,646236.
2600.,646446.
2650.,646152.
2700.,646312.
2750.,645363.
2800.,646282.
2850.,645396.
2900.,647010.
2950.,646162.
3000.,646623.
3050.,647560.
3100.,648149.
3150.,646892.
3200.,647601.
3250.,647572.
3300.,645637.
3350.,647173.
3400.,645857.
3450.,645485.
3500.,645246.
3550.,648013.
3600.,646946.
3650.,645472.
3700.,644758.
3750.,645396.
3800.,647382.
3850.,646343.
3900.,647991.
3950.,647303.
4000.,647326.
4050.,646182.
4100.,646556.
4150.,645428.
4200.,644708.
4250.,645414.
4300.,645075.
4350.,645606.
4400.,645860.
4450.,646336.
4500.,646320.
4550.,647099.
4600.,647821.
4650.,648080.
4700.,647624.
4750.,647141.
4800.,647728.
4850.,647291.
4900.,645267.
4950.,646600.
5000.,645498.
5050.,645162.
5100.,645387.
5150.,645609.
5200.,645876.
5250.,645495.
5300.,646278.
5350.,646278.
5400.,647606.
5450.,646212.
5500.,647253.
5550.,646385.
5600.,648114.
5650.,646353.
5700.,646073.
5750.,645374.
5800.,644963.
5850.,646568.
5900.,645937.
5950.,645812.
6000.,647323.
6050.,646614.
6100.,647296.
6150.,646396.
6200.,646771.
6250.,646084.
6300.,647464.
6350.,646780.
6400.,645684.
6450.,647080.
6500.,647134.
6550.,646125.
6600.,646155.
6650.,644327.
6700.,646496.
6750.,645184.
6800.,645984.
6850.,645990.
6900.,646107.
6950.,646510.
7000.,646275.
7050.,647575.
7100.,646264.
7150.,646162.
7200.,646796.
7250.,646553.
7300.,645308.
7350.,645670.
7400.,646042.
7450.,646412.
7500.,646369.
7550.,646564.
7600.,645754.
7650.,646223.
7700.,645967.
7750.,645602.
7800.,646399.
7850.,646259.
7900.,646127.
7950.,645561.
8000.,647429.
8050.,646927.
8100.,647167.
8150.,644843.
8200.,646446.
8250.,646039.
8300.,645152.
8350.,646346.
8400.,646024.
8450.,647449.
8500.,645580.
8550.,645302.
8600.,645190.
8650.,647115.
8700.,646441.
8750.,646127.
8800.,644380.
8850.,646469.
8900.,646001.
8950.,644769.
9000.,644515.
9050.,645410.
9100.,645591.
9150.,645892.
9200.,646372.
9250.,645365.
9300.,646675.
9350.,646346.
9400.,644979.
9450.,648033.
9500.,646707.
9550.,645206.
9600.,645785.
9650.,644864.
9700.,644546.
9750.,645441.
9800.,645143.
9850.,646635.
9900.,645347.
9950.,644787.
10000.,646050.
