x0000,y0000
0.,102662.
20.,102940.
40.,102443.
60.,101894.
80.,101929.
100.,102098.
120.,101312.
140.,101058.
160.,100517.
180.,100764.
200.,100778.
220.,100574.
240.,99955.
260.,99978.
280.,100784.
300.,100529.
320.,100502.
340.,100909.
360.,100106.
380.,101267.
400.,100643.
420.,100733.
440.,100777.
460.,101062.
480.,100531.
500.,101607.
520.,100936.
540.,100879.
560.,101561.
580.,101460.
600.,101712.
620.,101624.
640.,101990.
660.,101661.
680.,101780.
700.,101957.
720.,102013.
740.,102304.
760.,102164.
780.,101824.
800.,101181.
820.,101430.
840.,100946.
860.,100829.
880.,101024.
900.,100849.
920.,100914.
940.,100341.
960.,100908.
980.,100552.
1000.,100350.
1020.,100375.
1040.,100386.
1060.,100823.
1080.,100925.
1100.,100920.
1120.,100513.
1140.,101191.
1160.,101080.
1180.,101506.
1200.,101291.
1220.,101703.
1240.,101331.
1260.,101914.
1280.,101899.
1300.,101618.
1320.,101355.
1340.,101756.
1360.,101786.
1380.,101440.
1400.,101740.
1420.,101959.
1440.,101654.
1460.,101617.
1480.,101172.
1500.,101464.
1520.,101086.
1540.,100776.
1560.,100344.
1580.,100696.
1600.,100530.
1620.,100494.
1640.,100652.
1660.,100491.
1680.,100715.
1700.,100193.
1720.,100054.
1740.,100587.
1760.,100789.
1780.,101047.
1800.,101006.
1820.,101023.
1840.,101334.
1860.,100967.
1880.,101167.
1900.,101104.
1920.,101735.
1940.,101685.
1960.,101615.
1980.,101323.
2000.,101458.
2020.,101309.
2040.,102025.
2060.,101859.
2080.,101621.
2100.,101945.
2120.,101301.
2140.,101035.
2160.,101538.
2180.,101142.
2200.,101368.
2220.,101080.
2240.,100979.
2260.,101036.
2280.,100642.
2300.,100909.
2320.,100602.
2340.,100591.
2360.,100608.
2380.,99970.
2400.,99895.
2420.,100520.
2440.,100537.
2460.,100891.
2480.,101242.
2500.,101527.
2520.,101167.
2540.,100996.
2560.,101226.
2580.,101642.
2600.,101514.
2620.,101574.
2640.,101323.
2660.,101852.
2680.,101624.
2700.,101469.
2720.,101627.
2740.,101879.
2760.,101660.
2780.,101519.
2800.,101254.
2820.,102178.
2840.,101602.
2860.,101150.
2880.,100945.
2900.,101640.
2920.,101188.
2940.,100646.
2960.,100988.
2980.,100707.
3000.,100377.
3020.,100848.
3040.,100543.
3060.,100863.
3080.,100754.
3100.,100825.
3120.,100957.
3140.,100910.
3160.,101000.
3180.,101270.
3200.,100854.
3220.,100690.
3240.,101271.
3260.,101045.
3280.,101993.
3300.,101326.
3320.,101201.
3340.,101896.
3360.,101723.
3380.,101258.
3400.,102220.
3420.,101651.
3440.,101394.
3460.,101598.
3480.,101052.
3500.,101669.
3520.,101086.
3540.,101297.
3560.,101122.
3580.,100930.
3600.,101281.
3620.,100825.
3640.,100871.
3660.,100522.
3680.,100375.
3700.,100651.
3720.,100253.
3740.,101014.
3760.,100670.
3780.,100695.
3800.,100442.
3820.,100222.
3840.,100836.
3860.,101141.
3880.,100893.
3900.,101605.
3920.,101050.
3940.,101323.
3960.,101648.
3980.,101547.
4000.,101161.
